Month,Year,Rainfall,Temperature,WPI
4,2012,27.7,43.7,105.83
5,2012,15.7,40.6,110.09
6,2012,70.7,29.2,106.85
7,2012,134.9,27.9,115.28
8,2012,137.2,28.1,117.53
9,2012,110.6,30.6,122.11
10,2012,30.2,26.2,108.34
11,2012,18.2,28.3,123.71
12,2012,10.0,14.5,131.0
1,2013,10.0,16.6,125.61
2,2013,21.5,15.7,132.13
3,2013,10.0,41.8,129.8
4,2013,16.1,42.7,134.44
5,2013,32.3,39.9,133.21
6,2013,112.2,29.3,135.02
7,2013,158.3,29.7,130.68
8,2013,127.2,29.4,132.23
9,2013,84.9,27.7,133.6
10,2013,67.4,26.9,136.0
11,2013,10.0,31.0,129.19
12,2013,10.0,14.2,135.61
1,2014,11.0,13.9,133.16
2,2014,14.1,15.9,140.73
3,2014,19.7,42.7,135.88
4,2014,12.5,38.5,141.07
5,2014,39.7,42.0,138.44
6,2014,53.1,31.0,140.43
7,2014,148.1,28.4,136.17
8,2014,132.9,30.3,134.26
9,2014,100.7,30.7,131.19
10,2014,34.7,26.8,132.56
11,2014,10.0,26.4,125.66
12,2014,10.0,16.5,132.15
1,2015,10.0,13.4,132.36
2,2015,12.3,13.9,126.43
3,2015,33.3,42.2,131.45
4,2015,37.2,43.8,134.98
5,2015,28.9,38.8,131.93
6,2015,96.0,30.0,133.17
7,2015,129.7,30.4,128.14
8,2015,116.4,29.7,129.36
9,2015,79.1,30.8,141.46
10,2015,25.5,26.3,130.71
11,2015,23.4,29.2,142.88
12,2015,10.0,13.3,148.32
1,2016,10.4,15.5,152.49
2,2016,12.5,15.5,152.09
3,2016,16.7,43.1,162.21
4,2016,19.7,40.0,158.68
5,2016,37.3,41.1,170.02
6,2016,84.6,27.2,173.29
7,2016,157.0,28.7,169.68
8,2016,132.5,28.9,171.36
9,2016,95.7,30.0,169.88
10,2016,40.4,29.9,156.09
11,2016,15.1,29.5,160.25
12,2016,10.0,13.2,156.9
1,2017,10.1,14.6,157.72
2,2017,12.2,15.0,165.69
3,2017,16.3,41.6,160.92
4,2017,19.2,40.9,164.63
5,2017,35.8,44.2,169.07
6,2017,84.8,27.7,152.24
7,2017,154.5,28.6,151.86
8,2017,135.0,28.8,150.74
9,2017,97.6,30.7,142.43
10,2017,43.6,29.5,143.07
11,2017,16.4,27.3,137.31
12,2017,10.0,13.8,146.1
1,2018,10.0,13.3,144.73
2,2018,10.1,15.2,135.35
3,2018,13.8,41.9,133.31
4,2018,24.1,41.8,143.54
5,2018,35.1,42.4,137.49
6,2018,99.6,29.3,145.01
7,2018,153.5,28.6,149.77
8,2018,132.3,30.8,143.32
9,2018,97.2,30.8,149.15
10,2018,43.9,26.6,168.35
11,2018,15.0,29.0,176.09
12,2018,10.0,14.8,186.9
