Month,Year,Rainfall,Temperature,WPI
4,2012,28.2,41.5,104.95
5,2012,16.8,43.6,105.43
6,2012,71.0,29.1,108.64
7,2012,150.8,30.3,120.95
8,2012,151.2,28.7,120.05
9,2012,107.1,29.9,116.98
10,2012,32.7,29.3,126.16
11,2012,15.4,29.8,122.11
12,2012,10.0,14.3,114.99
1,2013,10.0,16.9,109.98
2,2013,24.1,13.1,114.24
3,2013,10.0,41.7,118.72
4,2013,17.2,40.3,121.86
5,2013,34.3,38.8,121.76
6,2013,127.6,30.8,126.7
7,2013,161.4,28.2,132.79
8,2013,144.6,29.2,136.54
9,2013,89.0,28.3,136.11
10,2013,70.8,29.7,123.03
11,2013,10.0,26.0,125.94
12,2013,10.0,14.5,123.68
1,2014,10.1,13.5,133.85
2,2014,15.2,15.2,124.51
3,2014,19.6,38.3,123.81
4,2014,11.2,39.5,124.56
5,2014,41.8,39.7,122.38
6,2014,50.6,29.9,139.97
7,2014,139.3,29.4,139.51
8,2014,131.9,28.9,142.0
9,2014,96.0,27.3,141.05
10,2014,30.3,27.2,127.69
11,2014,10.0,28.3,126.19
12,2014,10.0,13.6,128.47
1,2015,10.0,13.5,124.32
2,2015,11.0,14.9,119.08
3,2015,36.8,41.6,126.21
4,2015,41.0,40.2,136.36
5,2015,30.9,38.6,132.92
6,2015,99.2,29.1,146.83
7,2015,135.7,29.7,141.63
8,2015,105.4,28.2,144.18
9,2015,76.0,30.8,157.68
10,2015,21.7,29.0,157.15
11,2015,22.8,26.2,150.91
12,2015,10.0,14.8,155.13
1,2016,10.7,17.2,159.59
2,2016,13.3,16.5,162.94
3,2016,14.6,43.1,162.67
4,2016,18.7,42.5,172.59
5,2016,35.7,40.2,178.99
6,2016,101.1,30.8,192.93
7,2016,151.1,30.3,181.43
8,2016,130.8,27.9,190.53
9,2016,90.1,29.0,189.34
10,2016,40.3,27.7,189.15
11,2016,16.3,28.2,179.2
12,2016,10.0,16.1,177.99
1,2017,10.1,15.7,181.64
2,2017,13.5,15.8,186.76
3,2017,15.5,44.0,175.46
4,2017,20.7,43.9,186.0
5,2017,35.4,44.0,165.45
6,2017,92.8,27.6,163.04
7,2017,156.8,27.6,168.15
8,2017,148.1,28.7,163.77
9,2017,91.2,28.1,168.02
10,2017,39.4,27.4,161.35
11,2017,18.1,27.4,164.29
12,2017,10.0,16.3,158.73
1,2018,10.0,16.6,167.07
2,2018,10.8,14.7,167.08
3,2018,14.5,42.1,167.15
4,2018,22.4,43.7,158.85
5,2018,34.0,38.4,158.06
6,2018,86.2,29.0,163.15
7,2018,156.8,29.7,159.85
8,2018,132.0,27.8,170.41
9,2018,86.0,28.8,157.13
10,2018,41.7,30.5,160.02
11,2018,14.3,30.3,169.63
12,2018,10.0,16.7,158.49
