Month,Year,Rainfall,Temperature,WPI
4,2012,26.8,42.7,108.67
5,2012,18.2,41.3,106.2
6,2012,65.0,29.1,109.17
7,2012,148.9,30.1,109.73
8,2012,137.1,28.2,114.12
9,2012,96.4,29.5,122.8
10,2012,35.0,30.0,115.79
11,2012,18.5,27.1,120.83
12,2012,10.0,14.3,122.35
1,2013,10.0,14.3,130.11
2,2013,21.0,14.0,137.14
3,2013,10.0,38.6,130.87
4,2013,16.2,38.5,124.37
5,2013,30.1,43.3,126.38
6,2013,115.9,28.7,126.91
7,2013,156.4,30.9,132.89
8,2013,128.7,28.0,130.85
9,2013,84.9,29.1,133.24
10,2013,65.5,25.9,126.26
11,2013,10.0,25.2,139.62
12,2013,10.0,13.7,132.0
1,2014,10.0,14.5,137.87
2,2014,14.4,17.0,139.37
3,2014,17.9,39.6,140.92
4,2014,11.8,43.1,134.89
5,2014,36.5,41.8,127.77
6,2014,50.6,29.6,123.54
7,2014,154.4,29.6,130.12
8,2014,140.2,28.3,132.68
9,2014,111.1,30.5,131.47
10,2014,31.1,25.4,126.55
11,2014,10.0,30.9,135.13
12,2014,10.0,15.4,131.93
1,2015,10.0,15.2,134.37
2,2015,10.6,13.6,143.63
3,2015,35.9,41.4,139.98
4,2015,35.2,40.4,140.33
5,2015,27.0,42.9,131.74
6,2015,100.2,27.8,129.46
7,2015,131.7,29.7,127.92
8,2015,117.9,29.2,139.15
9,2015,67.0,28.6,132.16
10,2015,23.5,30.6,144.11
11,2015,20.4,25.5,140.37
12,2015,10.0,14.4,146.14
1,2016,11.1,16.4,155.15
2,2016,11.9,15.5,150.98
3,2016,14.5,39.8,156.8
4,2016,18.7,40.7,148.95
5,2016,34.5,42.4,149.18
6,2016,91.6,28.9,143.36
7,2016,154.2,29.4,154.82
8,2016,153.7,27.6,149.05
9,2016,100.5,29.5,148.19
10,2016,37.9,27.4,150.27
11,2016,17.0,26.5,162.54
12,2016,10.0,15.9,176.75
1,2017,10.0,17.2,165.03
2,2017,13.2,13.5,165.47
3,2017,15.0,43.9,166.11
4,2017,20.5,40.1,155.5
5,2017,33.9,42.8,154.49
6,2017,97.1,27.9,148.9
7,2017,158.1,30.6,157.89
8,2017,143.1,29.4,152.76
9,2017,101.4,29.4,146.16
10,2017,41.1,30.7,150.87
11,2017,16.6,27.0,153.09
12,2017,10.0,15.5,153.76
1,2018,10.0,14.4,158.68
2,2018,10.0,15.5,156.38
3,2018,15.0,43.0,164.23
4,2018,23.6,42.1,167.03
5,2018,36.7,39.8,162.96
6,2018,89.0,30.4,166.22
7,2018,143.0,30.1,167.41
8,2018,129.0,27.4,174.19
9,2018,92.9,30.7,172.58
10,2018,41.5,26.4,169.56
11,2018,16.0,28.2,176.91
12,2018,10.0,17.2,167.25
