Month,Year,Rainfall,Temperature,WPI
4,2012,38.8,36.0,99.11
5,2012,27.7,35.2,97.3
6,2012,93.0,23.0,105.38
7,2012,214.0,22.7,111.97
8,2012,234.5,23.6,120.57
9,2012,153.7,22.6,107.28
10,2012,53.1,25.1,111.98
11,2012,27.6,26.5,110.48
12,2012,10.0,18.1,108.84
1,2013,10.0,20.5,107.1
2,2013,33.8,20.7,100.35
3,2013,12.8,36.7,112.54
4,2013,27.5,35.0,107.28
5,2013,51.9,33.7,115.44
6,2013,196.9,22.5,115.55
7,2013,266.9,23.1,117.03
8,2013,216.0,22.8,120.93
9,2013,131.4,22.7,115.17
10,2013,108.1,27.8,112.44
11,2013,11.7,23.6,114.57
12,2013,10.0,19.4,109.99
1,2014,17.6,19.0,109.56
2,2014,24.4,21.1,110.73
3,2014,29.4,34.3,108.81
4,2014,19.9,35.8,106.34
5,2014,68.0,35.9,114.42
6,2014,81.0,25.0,114.6
7,2014,223.7,23.4,124.11
8,2014,206.4,25.4,129.32
9,2014,150.5,25.5,125.51
10,2014,51.2,26.7,120.14
11,2014,11.2,25.4,108.61
12,2014,10.0,21.3,104.77
1,2015,13.3,18.8,98.55
2,2015,18.7,19.8,107.91
3,2015,48.0,35.1,112.1
4,2015,57.4,33.1,116.79
5,2015,45.1,32.8,119.37
6,2015,172.5,25.5,120.52
7,2015,223.8,23.5,123.54
8,2015,179.8,25.6,122.74
9,2015,121.3,23.6,136.28
10,2015,39.3,25.0,135.38
11,2015,34.0,23.9,125.46
12,2015,13.6,20.6,129.92
1,2016,17.3,18.5,135.31
2,2016,20.2,20.4,133.73
3,2016,25.6,31.5,141.99
4,2016,34.5,36.4,153.93
5,2016,49.7,34.4,141.58
6,2016,132.4,23.8,151.22
7,2016,249.7,22.7,157.41
8,2016,211.9,23.0,162.16
9,2016,144.8,26.2,150.04
10,2016,66.0,24.5,162.57
11,2016,26.1,27.4,146.57
12,2016,13.5,21.2,140.97
1,2017,15.9,20.2,154.86
2,2017,18.4,20.1,153.43
3,2017,23.3,34.4,145.28
4,2017,31.7,33.4,137.64
5,2017,58.1,34.2,138.02
6,2017,132.6,22.3,136.26
7,2017,225.9,25.3,141.24
8,2017,198.0,22.7,141.9
9,2017,146.9,23.3,136.98
10,2017,71.1,27.9,126.63
11,2017,27.1,23.5,132.95
12,2017,12.0,18.9,132.59
1,2018,16.5,21.3,137.54
2,2018,16.3,20.8,127.57
3,2018,22.8,34.0,124.15
4,2018,36.9,32.7,120.75
5,2018,56.6,33.4,125.5
6,2018,143.5,25.2,126.22
7,2018,259.8,23.2,131.4
8,2018,235.2,24.2,130.92
9,2018,138.4,23.9,139.3
10,2018,63.0,26.8,128.2
11,2018,22.5,27.2,124.42
12,2018,11.3,22.3,130.81
