Month,Year,Rainfall,Temperature,WPI
4,2012,41.0,34.1,88.32
5,2012,26.1,36.4,90.33
6,2012,102.9,23.6,85.39
7,2012,198.1,23.1,86.1
8,2012,241.7,25.9,87.16
9,2012,165.9,22.8,89.6
10,2012,45.5,23.6,91.5
11,2012,25.3,27.0,82.37
12,2012,10.1,21.5,81.56
1,2013,10.1,21.7,82.4
2,2013,34.5,18.7,88.6
3,2013,14.1,36.7,87.04
4,2013,23.8,37.0,94.8
5,2013,47.3,31.1,91.63
6,2013,170.3,23.3,92.3
7,2013,238.6,24.2,90.61
8,2013,214.0,26.0,86.86
9,2013,135.1,22.3,92.94
10,2013,111.9,23.3,94.09
11,2013,12.4,26.1,85.22
12,2013,10.0,20.2,86.33
1,2014,16.8,19.9,91.83
2,2014,22.3,18.9,88.01
3,2014,32.9,37.0,98.05
4,2014,17.9,31.5,99.99
5,2014,64.7,32.9,102.17
6,2014,82.1,24.0,107.01
7,2014,205.7,23.0,111.7
8,2014,213.3,24.1,104.4
9,2014,172.9,24.5,107.93
10,2014,47.1,26.1,101.6
11,2014,13.1,28.0,105.03
12,2014,10.0,20.5,96.61
1,2015,14.9,22.0,100.17
2,2015,19.0,21.1,103.58
3,2015,52.9,32.5,96.4
4,2015,56.8,34.6,94.61
5,2015,43.2,32.4,100.58
6,2015,165.9,22.6,98.57
7,2015,192.3,22.5,94.32
8,2015,174.5,25.2,100.85
9,2015,113.7,23.2,97.19
10,2015,34.1,24.6,99.18
11,2015,33.8,27.0,102.91
12,2015,12.8,19.4,104.35
1,2016,17.4,19.6,99.46
2,2016,17.8,21.3,105.65
3,2016,24.5,33.9,95.63
4,2016,33.0,33.3,102.98
5,2016,48.0,37.0,104.14
6,2016,156.7,25.0,106.74
7,2016,244.7,25.7,109.27
8,2016,198.9,23.6,104.94
9,2016,144.1,22.9,110.61
10,2016,62.1,23.8,108.7
11,2016,25.1,29.0,109.14
12,2016,12.7,20.0,114.19
1,2017,16.7,21.9,115.88
2,2017,18.9,19.2,117.8
3,2017,23.3,31.7,111.91
4,2017,34.7,35.7,118.43
5,2017,56.7,34.3,109.37
6,2017,138.2,24.8,109.33
7,2017,244.7,22.3,110.85
8,2017,222.7,24.8,113.79
9,2017,152.2,24.4,109.7
10,2017,66.1,27.1,108.89
11,2017,25.2,25.4,101.88
12,2017,12.1,19.0,101.08
1,2018,16.3,21.3,98.3
2,2018,16.3,20.9,94.96
3,2018,24.5,34.0,99.41
4,2018,32.9,35.3,102.7
5,2018,57.9,32.4,98.52
6,2018,139.7,25.6,102.71
7,2018,246.0,23.5,107.02
8,2018,228.9,25.0,101.76
9,2018,147.9,24.4,101.92
10,2018,62.6,24.6,113.0
11,2018,26.2,27.8,121.38
12,2018,11.4,21.7,122.66
