Month,Year,Rainfall,Temperature,WPI
4,2012,37.2,33.1,95.09
5,2012,28.9,33.8,98.62
6,2012,105.0,24.3,94.85
7,2012,192.3,24.0,95.67
8,2012,204.1,22.8,102.19
9,2012,151.1,25.4,95.07
10,2012,45.2,25.1,102.65
11,2012,25.2,28.1,98.78
12,2012,10.3,20.2,96.24
1,2013,10.2,21.0,93.5
2,2013,31.1,19.2,98.36
3,2013,14.6,36.5,95.91
4,2013,26.7,32.7,100.78
5,2013,51.0,35.8,96.35
6,2013,205.0,22.7,96.38
7,2013,269.4,25.9,94.04
8,2013,222.5,24.1,102.15
9,2013,124.8,22.8,98.56
10,2013,108.5,26.6,97.96
11,2013,12.4,25.1,110.34
12,2013,10.0,18.3,117.08
1,2014,15.2,20.4,111.42
2,2014,25.1,19.0,111.48
3,2014,29.2,31.3,113.21
4,2014,17.7,35.1,114.99
5,2014,63.4,36.4,109.23
6,2014,77.7,24.9,116.95
7,2014,215.5,22.3,112.47
8,2014,190.6,25.9,110.61
9,2014,173.6,24.2,112.25
10,2014,49.7,24.1,114.12
11,2014,13.3,27.9,117.71
12,2014,10.0,18.2,110.72
1,2015,15.7,20.8,108.8
2,2015,19.3,18.7,110.4
3,2015,52.0,34.8,115.32
4,2015,58.1,31.2,139.98
5,2015,48.9,34.2,130.89
6,2015,162.0,25.3,131.04
7,2015,226.4,24.2,140.26
8,2015,188.0,24.5,136.76
9,2015,104.5,23.2,141.19
10,2015,39.9,27.6,136.68
11,2015,33.8,26.1,140.94
12,2015,12.5,19.5,132.76
1,2016,17.4,20.2,148.6
2,2016,17.9,20.6,137.11
3,2016,25.5,35.8,147.41
4,2016,30.3,34.9,141.13
5,2016,51.6,36.3,140.5
6,2016,149.7,22.6,148.8
7,2016,261.7,24.7,137.16
8,2016,209.2,22.3,138.69
9,2016,144.3,23.1,148.83
10,2016,62.6,28.4,144.27
11,2016,25.9,28.3,144.33
12,2016,11.6,19.9,148.07
1,2017,15.2,21.5,146.18
2,2017,19.9,21.0,150.11
3,2017,23.5,33.3,152.18
4,2017,33.7,32.1,150.77
5,2017,50.0,31.7,145.2
6,2017,136.3,25.1,148.91
7,2017,239.4,23.6,152.09
8,2017,204.4,23.1,146.23
9,2017,138.1,23.2,146.0
10,2017,67.1,24.6,146.62
11,2017,27.9,25.2,144.17
12,2017,13.6,21.0,144.09
1,2018,17.8,20.8,152.92
2,2018,17.3,21.9,155.83
3,2018,21.7,32.8,143.56
4,2018,32.3,35.2,143.49
5,2018,55.8,33.2,143.42
6,2018,141.5,23.2,149.79
7,2018,264.6,24.7,157.56
8,2018,214.2,25.6,146.04
9,2018,145.0,26.1,146.84
10,2018,71.8,26.4,155.89
11,2018,24.6,24.6,144.24
12,2018,11.4,18.8,149.2
