Month,Year,Rainfall,Temperature,WPI
4,2012,37.1,31.8,96.88
5,2012,29.3,34.6,91.59
6,2012,108.7,24.2,95.85
7,2012,194.0,23.6,101.1
8,2012,235.9,23.6,105.73
9,2012,173.2,22.8,113.73
10,2012,53.3,28.9,106.49
11,2012,28.4,25.7,106.62
12,2012,10.2,18.5,113.12
1,2013,10.0,20.7,104.79
2,2013,34.4,20.0,113.32
3,2013,14.6,36.3,115.37
4,2013,27.3,33.2,111.18
5,2013,49.0,36.1,105.52
6,2013,179.5,23.0,112.66
7,2013,282.0,24.3,108.61
8,2013,226.2,24.5,115.82
9,2013,118.3,24.7,111.77
10,2013,104.3,28.2,114.54
11,2013,12.4,24.1,115.74
12,2013,10.0,19.7,115.64
1,2014,17.0,22.1,119.57
2,2014,21.9,22.0,112.97
3,2014,33.2,34.2,112.39
4,2014,17.3,33.3,106.16
5,2014,62.8,34.3,110.21
6,2014,85.1,22.4,109.53
7,2014,237.0,26.0,105.81
8,2014,199.9,26.1,114.54
9,2014,160.5,25.9,112.92
10,2014,55.2,23.7,108.44
11,2014,12.1,25.6,109.49
12,2014,10.0,21.7,111.86
1,2015,13.7,18.9,113.68
2,2015,19.2,22.1,109.27
3,2015,50.9,31.4,114.48
4,2015,55.4,35.1,105.69
5,2015,44.8,35.1,104.56
6,2015,168.9,24.5,112.98
7,2015,193.1,22.6,108.5
8,2015,182.7,23.4,115.26
9,2015,115.6,22.2,109.14
10,2015,36.1,25.8,117.21
11,2015,30.6,28.7,115.85
12,2015,12.1,20.1,113.5
1,2016,15.9,18.9,116.69
2,2016,19.0,19.5,122.26
3,2016,22.7,36.0,115.24
4,2016,32.1,35.7,118.51
5,2016,58.3,36.9,123.01
6,2016,155.5,25.4,121.86
7,2016,254.0,23.6,118.04
8,2016,206.1,24.2,127.55
9,2016,132.8,23.9,126.15
10,2016,64.5,27.5,123.48
11,2016,27.5,28.9,129.18
12,2016,13.8,19.1,137.08
1,2017,15.5,19.3,130.09
2,2017,19.2,19.3,127.06
3,2017,25.0,34.7,125.37
4,2017,33.6,35.4,123.85
5,2017,48.6,33.5,118.5
6,2017,143.7,23.5,119.67
7,2017,261.2,25.8,121.16
8,2017,207.0,24.2,119.33
9,2017,136.3,22.3,114.43
10,2017,66.5,28.0,116.84
11,2017,27.4,27.8,119.33
12,2017,12.0,22.2,117.52
1,2018,17.7,19.1,119.02
2,2018,18.6,18.5,117.58
3,2018,23.1,34.8,119.19
4,2018,32.6,32.7,122.04
5,2018,58.2,37.2,119.38
6,2018,141.7,23.0,121.38
7,2018,254.2,22.4,122.13
8,2018,210.0,23.1,124.54
9,2018,131.8,25.8,132.5
10,2018,72.1,27.0,130.56
11,2018,25.9,29.0,127.01
12,2018,11.1,21.4,133.67
