Month,Year,Rainfall,Temperature,WPI
4,2012,34.9,36.2,88.02
5,2012,27.6,40.4,89.73
6,2012,101.7,28.3,88.0
7,2012,188.3,26.8,93.21
8,2012,195.3,27.1,99.19
9,2012,162.7,25.5,102.28
10,2012,45.7,28.7,98.66
11,2012,26.0,26.6,99.95
12,2012,10.1,13.5,101.09
1,2013,10.0,13.7,95.32
2,2013,32.2,12.9,88.46
3,2013,11.6,36.8,100.98
4,2013,23.3,38.9,94.03
5,2013,48.5,39.7,97.79
6,2013,175.2,27.4,95.89
7,2013,241.5,26.7,102.62
8,2013,215.4,27.5,107.7
9,2013,125.2,26.5,108.29
10,2013,98.7,23.8,99.27
11,2013,11.9,26.5,98.8
12,2013,10.0,12.7,98.42
1,2014,15.6,13.3,99.67
2,2014,23.2,12.2,101.04
3,2014,29.3,36.8,99.22
4,2014,19.3,39.5,94.2
5,2014,57.8,38.0,98.26
6,2014,69.6,27.3,99.86
7,2014,215.6,26.1,108.77
8,2014,184.4,27.1,110.54
9,2014,164.2,27.8,102.41
10,2014,51.8,23.4,100.18
11,2014,11.1,28.0,96.16
12,2014,10.0,11.3,93.88
1,2015,13.4,12.6,91.5
2,2015,17.6,14.7,87.76
3,2015,51.9,39.2,97.99
4,2015,51.7,40.4,97.49
5,2015,43.0,42.0,102.36
6,2015,155.6,28.1,108.45
7,2015,203.1,25.8,112.57
8,2015,151.4,25.6,105.86
9,2015,115.6,25.6,121.47
10,2015,34.8,24.3,117.48
11,2015,32.7,23.7,109.2
12,2015,11.9,12.9,121.45
1,2016,15.8,13.6,121.45
2,2016,17.4,13.1,114.72
3,2016,21.9,36.3,122.97
4,2016,32.3,37.2,123.93
5,2016,49.3,38.8,131.62
6,2016,138.2,28.6,133.94
7,2016,217.4,28.7,133.02
8,2016,198.0,25.4,129.88
9,2016,149.0,27.9,139.48
10,2016,55.0,25.0,126.96
11,2016,25.9,24.9,124.38
12,2016,11.2,12.4,132.58
1,2017,14.9,12.6,121.78
2,2017,17.5,12.8,123.07
3,2017,21.5,37.9,121.75
4,2017,31.9,38.7,124.06
5,2017,50.3,37.7,116.77
6,2017,128.1,28.5,113.19
7,2017,211.7,27.0,112.36
8,2017,215.2,27.0,113.89
9,2017,144.4,26.3,110.68
10,2017,63.8,29.0,110.12
11,2017,25.5,28.3,110.13
12,2017,13.0,12.1,111.81
1,2018,16.4,13.3,107.35
2,2018,14.9,12.0,112.48
3,2018,23.7,41.5,107.76
4,2018,34.7,40.6,107.23
5,2018,52.6,41.1,101.87
6,2018,121.2,29.0,107.01
7,2018,231.3,27.1,105.97
8,2018,186.8,29.2,113.46
9,2018,140.5,26.5,115.49
10,2018,67.1,24.8,115.51
11,2018,23.1,28.5,106.28
12,2018,10.8,13.8,109.66
