Month,Year,Rainfall,Temperature,WPI
4,2012,39.5,36.9,85.22
5,2012,25.6,40.6,79.77
6,2012,86.5,27.0,83.74
7,2012,215.1,26.8,80.14
8,2012,218.8,26.9,82.83
9,2012,144.3,27.7,82.18
10,2012,47.8,27.7,78.25
11,2012,25.4,26.7,78.69
12,2012,10.0,12.8,75.9
1,2013,10.0,13.2,76.16
2,2013,29.8,11.7,76.52
3,2013,11.8,38.0,86.17
4,2013,24.0,37.5,82.09
5,2013,44.8,37.3,76.96
6,2013,167.3,27.0,75.66
7,2013,265.3,28.7,82.59
8,2013,188.9,28.8,75.26
9,2013,119.6,27.9,80.72
10,2013,111.9,26.7,78.83
11,2013,11.6,26.1,80.87
12,2013,10.0,11.8,77.72
1,2014,15.8,13.0,82.6
2,2014,21.7,13.4,84.37
3,2014,26.7,38.9,92.0
4,2014,19.5,40.4,91.97
5,2014,55.5,41.1,88.19
6,2014,79.6,27.9,92.53
7,2014,209.7,28.2,99.85
8,2014,202.2,29.0,94.27
9,2014,147.9,27.2,89.41
10,2014,50.0,26.5,95.92
11,2014,11.6,28.1,94.67
12,2014,10.0,11.1,85.12
1,2015,14.0,12.1,90.25
2,2015,18.4,12.3,88.8
3,2015,51.0,41.9,89.16
4,2015,61.0,41.8,84.74
5,2015,46.5,36.3,90.41
6,2015,141.7,28.8,90.19
7,2015,194.7,28.0,83.12
8,2015,164.8,28.0,80.41
9,2015,104.5,26.4,84.9
10,2015,31.6,24.1,91.77
11,2015,34.1,25.6,90.78
12,2015,13.0,13.8,92.75
1,2016,15.1,13.2,86.9
2,2016,16.6,12.6,90.72
3,2016,21.2,38.0,90.73
4,2016,28.7,37.9,88.53
5,2016,50.7,37.0,89.45
6,2016,132.3,26.1,95.98
7,2016,218.3,29.1,92.7
8,2016,219.8,28.6,88.73
9,2016,129.8,28.3,92.6
10,2016,66.6,26.7,89.92
11,2016,22.4,24.0,97.58
12,2016,11.6,14.2,99.77
1,2017,14.6,11.8,103.06
2,2017,18.9,14.6,104.66
3,2017,20.8,39.7,96.0
4,2017,29.4,41.2,102.03
5,2017,50.5,38.5,93.56
6,2017,142.5,27.2,92.53
7,2017,233.0,28.7,91.57
8,2017,203.1,25.4,92.24
9,2017,129.2,25.9,91.25
10,2017,56.2,24.1,88.22
11,2017,25.0,29.0,87.26
12,2017,11.7,12.2,86.57
1,2018,15.8,11.7,84.32
2,2018,16.9,11.5,83.96
3,2018,19.5,37.8,90.01
4,2018,30.2,40.4,88.85
5,2018,50.7,39.4,87.55
6,2018,122.9,26.3,86.19
7,2018,226.7,27.3,91.43
8,2018,185.5,26.1,91.75
9,2018,127.6,26.6,91.41
10,2018,59.4,24.5,93.24
11,2018,23.2,25.9,103.76
12,2018,12.1,12.8,104.6
