Month,Year,Rainfall,Temperature,WPI
4,2012,38.5,40.6,89.19
5,2012,27.8,41.2,93.01
6,2012,97.8,25.3,86.0
7,2012,211.8,25.3,95.67
8,2012,229.5,27.1,98.18
9,2012,142.1,26.9,101.29
10,2012,42.3,28.1,102.8
11,2012,25.2,25.1,98.77
12,2012,10.2,14.2,106.49
1,2013,10.0,11.3,104.14
2,2013,29.3,11.7,99.3
3,2013,11.8,41.7,97.15
4,2013,22.5,39.2,99.24
5,2013,50.2,39.3,96.49
6,2013,177.6,27.0,106.06
7,2013,271.2,27.9,100.4
8,2013,186.7,25.2,99.29
9,2013,125.8,26.5,108.07
10,2013,113.3,27.8,102.56
11,2013,10.9,28.5,108.26
12,2013,10.0,11.9,106.06
1,2014,15.1,11.8,101.16
2,2014,23.6,15.1,106.1
3,2014,27.0,41.5,103.6
4,2014,19.2,39.1,105.18
5,2014,58.4,36.5,99.62
6,2014,83.9,27.8,99.84
7,2014,189.5,28.0,103.76
8,2014,203.9,28.7,101.34
9,2014,149.6,26.8,98.33
10,2014,44.1,26.5,104.74
11,2014,12.2,25.5,101.87
12,2014,10.0,12.8,99.34
1,2015,13.6,13.8,96.39
2,2015,16.5,12.5,100.48
3,2015,50.9,37.5,103.05
4,2015,53.7,40.2,95.44
5,2015,42.8,41.5,101.61
6,2015,160.0,28.4,97.7
7,2015,210.2,25.8,101.99
8,2015,157.3,28.1,103.8
9,2015,112.6,28.9,105.89
10,2015,36.4,24.4,102.28
11,2015,31.3,25.0,107.93
12,2015,12.0,11.7,107.13
1,2016,14.3,14.0,105.12
2,2016,18.9,11.8,101.75
3,2016,22.8,36.7,104.87
4,2016,28.5,36.2,108.25
5,2016,48.5,39.4,108.08
6,2016,133.6,25.6,107.39
7,2016,234.8,26.6,109.34
8,2016,202.3,25.3,114.51
9,2016,141.1,28.5,116.9
10,2016,64.9,29.2,108.29
11,2016,23.1,26.1,110.89
12,2016,11.8,13.6,120.62
1,2017,16.0,13.7,113.76
2,2017,18.1,13.1,109.12
3,2017,24.2,36.8,112.26
4,2017,30.7,36.4,106.88
5,2017,46.7,38.5,112.09
6,2017,142.0,27.2,106.71
7,2017,208.6,27.9,102.75
8,2017,201.2,27.4,110.7
9,2017,144.0,25.8,107.03
10,2017,62.2,25.1,106.9
11,2017,24.7,24.3,102.36
12,2017,13.1,11.6,110.88
1,2018,16.3,15.0,100.75
2,2018,16.7,12.2,108.13
3,2018,23.6,36.6,100.99
4,2018,29.1,37.1,102.22
5,2018,51.4,40.9,103.98
6,2018,137.3,27.0,112.41
7,2018,207.9,27.8,109.69
8,2018,208.9,28.7,116.04
9,2018,135.9,28.5,117.07
10,2018,60.4,25.4,113.45
11,2018,24.6,25.3,115.42
12,2018,11.3,11.4,116.74
