Month,Year,Rainfall,Temperature,WPI
4,2012,47.5,36.6,107.7
5,2012,31.7,36.8,109.3
6,2012,117.8,27.5,107.0
7,2012,250.2,25.6,113.9
8,2012,262.4,27.7,120.7
9,2012,193.5,26.2,121.7
10,2012,58.7,29.1,114.8
11,2012,30.7,28.1,120.4
12,2012,11.7,19.8,127.7
1,2013,11.3,19.6,131.6
2,2013,40.1,17.6,132.7
3,2013,15.7,38.5,132.5
4,2013,30.4,35.7,136.4
5,2013,57.8,37.2,137.6
6,2013,219.8,24.6,136.9
7,2013,310.0,24.1,135.3
8,2013,254.7,25.3,131.0
9,2013,152.7,24.1,130.9
10,2013,129.4,27.9,129.7
11,2013,14.0,24.5,129.5
12,2013,6.7,20.0,131.1
1,2014,19.2,18.2,132.3
2,2014,27.4,18.0,131.5
3,2014,36.1,38.3,133.6
4,2014,22.2,36.7,134.4
5,2014,72.9,37.0,134.6
6,2014,95.4,24.6,132.5
7,2014,261.2,25.7,134.4
8,2014,237.5,26.0,133.2
9,2014,188.0,25.8,133.9
10,2014,60.2,24.8,129.3
11,2014,14.4,29.9,125.6
12,2014,10.7,16.5,123.9
1,2015,17.4,18.2,125.0
2,2015,21.0,16.2,123.2
3,2015,62.0,35.8,124.8
4,2015,69.4,40.6,127.3
5,2015,53.8,37.0,126.7
6,2015,192.8,25.0,125.2
7,2015,242.4,24.2,124.3
8,2015,205.2,24.5,127.4
9,2015,131.8,26.4,132.2
10,2015,42.9,28.5,132.7
11,2015,39.4,27.7,135.3
12,2015,15.0,18.0,139.2
1,2016,19.3,20.2,142.9
2,2016,22.8,18.4,144.2
3,2016,27.6,35.8,147.7
4,2016,37.4,39.3,155.8
5,2016,62.6,39.2,162.6
6,2016,168.3,26.5,158.7
7,2016,289.1,25.2,159.6
8,2016,256.3,27.4,159.3
9,2016,171.9,27.3,155.1
10,2016,76.1,27.2,148.1
11,2016,29.7,25.0,151.0
12,2016,14.9,20.1,154.7
1,2017,19.0,17.8,151.9
2,2017,22.6,16.5,151.3
3,2017,27.8,37.0,152.6
4,2017,37.9,39.2,153.8
5,2017,62.4,38.3,153.2
6,2017,168.1,26.2,149.7
7,2017,289.3,24.3,145.4
8,2017,256.2,24.5,143.8
9,2017,171.5,26.7,139.4
10,2017,76.3,25.0,132.9
11,2017,29.9,25.1,130.2
12,2017,15.0,19.6,133.9
1,2018,19.2,19.8,131.7
2,2018,20.1,18.6,127.9
3,2018,27.1,40.9,126.8
4,2018,40.2,37.8,127.0
5,2018,62.7,37.6,128.1
6,2018,165.0,25.7,129.5
7,2018,286.3,27.1,132.9
8,2018,254.3,28.0,138.2
9,2018,171.9,28.2,141.7
10,2018,77.2,29.3,148.6
11,2018,28.1,27.8,161.7
12,2018,14.1,17.4,165.1
