Month,Year,Rainfall,Temperature,WPI
4,2012,47.5,36.0,101.2
5,2012,31.7,38.0,101.5
6,2012,117.8,24.8,102.5
7,2012,250.2,26.9,110.7
8,2012,262.4,27.0,115.0
9,2012,193.5,27.8,112.5
10,2012,58.7,25.2,114.0
11,2012,30.7,24.7,111.9
12,2012,11.7,17.6,110.8
1,2013,11.3,16.3,106.5
2,2013,40.1,17.2,106.1
3,2013,15.7,37.3,112.0
4,2013,30.4,35.7,112.0
5,2013,57.8,36.4,114.4
6,2013,219.8,24.4,115.9
7,2013,310.0,26.3,119.1
8,2013,254.7,25.7,123.6
9,2013,152.7,27.3,120.4
10,2013,129.4,29.7,118.7
11,2013,14.0,25.3,115.7
12,2013,6.7,18.5,112.9
1,2014,19.2,17.1,115.7
2,2014,27.4,16.8,114.2
3,2014,36.1,37.5,111.7
4,2014,22.2,40.0,114.9
5,2014,72.9,40.0,115.5
6,2014,95.4,26.7,120.9
7,2014,261.2,25.4,122.8
8,2014,237.5,24.2,132.6
9,2014,188.0,26.3,125.2
10,2014,60.2,29.5,120.7
11,2014,14.4,27.4,114.5
12,2014,10.7,16.9,111.2
1,2015,17.4,16.7,107.7
2,2015,21.0,17.4,108.5
3,2015,62.0,36.2,113.8
4,2015,69.4,38.7,119.4
5,2015,53.8,39.7,122.6
6,2015,192.8,26.9,125.0
7,2015,242.4,27.3,129.8
8,2015,205.2,27.7,131.1
9,2015,131.8,24.4,141.4
10,2015,42.9,26.9,146.2
11,2015,39.4,28.6,136.8
12,2015,15.0,19.4,140.7
1,2016,19.3,19.0,145.3
2,2016,22.8,19.0,148.2
3,2016,27.6,39.4,150.3
4,2016,37.4,37.7,157.2
5,2016,62.6,38.7,156.8
6,2016,168.3,26.1,164.0
7,2016,289.1,24.9,167.8
8,2016,256.3,24.5,166.6
9,2016,171.9,24.6,164.4
10,2016,76.1,27.8,161.8
11,2016,29.7,29.9,154.0
12,2016,14.9,16.2,156.3
1,2017,19.0,17.4,159.0
2,2017,22.6,19.7,157.9
3,2017,27.8,35.5,156.5
4,2017,37.9,36.3,154.5
5,2017,62.4,39.0,148.1
6,2017,168.1,27.4,145.4
7,2017,289.3,27.5,143.5
8,2017,256.2,26.9,142.6
9,2017,171.5,27.6,142.9
10,2017,76.3,24.3,138.9
11,2017,29.9,30.0,141.4
12,2017,15.0,17.4,144.8
1,2018,19.2,18.7,143.4
2,2018,20.1,17.7,141.9
3,2018,27.1,37.9,137.7
4,2018,40.2,40.9,134.4
5,2018,62.7,36.5,133.9
6,2018,165.0,26.8,136.6
7,2018,286.3,24.7,138.5
8,2018,254.3,25.1,140.3
9,2018,171.9,27.2,141.1
10,2018,77.2,27.7,141.8
11,2018,28.1,29.6,139.5
12,2018,14.1,18.3,140.2
