Month,Year,Rainfall,Temperature,WPI
4,2012,47.5,40.8,98.3
5,2012,31.7,39.4,98.2
6,2012,117.8,25.9,97.0
7,2012,250.2,26.6,93.7
8,2012,262.4,26.5,96.2
9,2012,193.5,26.1,97.2
10,2012,58.7,28.3,95.5
11,2012,30.7,29.5,95.6
12,2012,11.7,18.9,95.0
1,2013,11.3,19.6,95.2
2,2013,40.1,16.8,97.9
3,2013,15.7,38.1,101.9
4,2013,30.4,36.7,101.7
5,2013,57.8,35.9,99.5
6,2013,219.8,27.9,97.7
7,2013,310.0,25.4,99.5
8,2013,254.7,25.2,94.5
9,2013,152.7,28.0,98.0
10,2013,129.4,29.9,98.4
11,2013,14.0,27.3,99.5
12,2013,6.7,16.4,100.8
1,2014,19.2,19.3,100.8
2,2014,27.4,19.6,103.0
3,2014,36.1,35.8,111.3
4,2014,22.2,40.3,115.7
5,2014,72.9,37.6,112.8
6,2014,95.4,27.0,113.9
7,2014,261.2,24.9,120.7
8,2014,237.5,26.1,116.1
9,2014,188.0,25.0,115.0
10,2014,60.2,26.4,117.0
11,2014,14.4,28.9,115.3
12,2014,10.7,18.0,110.3
1,2015,17.4,16.3,119.2
2,2015,21.0,18.3,119.6
3,2015,62.0,36.2,114.4
4,2015,69.4,39.7,111.3
5,2015,53.8,38.7,117.4
6,2015,192.8,26.5,115.7
7,2015,242.4,27.2,110.7
8,2015,205.2,28.0,108.4
9,2015,131.8,24.7,108.4
10,2015,42.9,28.4,114.4
11,2015,39.4,25.2,113.4
12,2015,15.0,20.0,119.2
1,2016,19.3,16.3,115.4
2,2016,22.8,18.3,116.1
3,2016,27.6,40.8,115.8
4,2016,37.4,40.4,115.5
5,2016,62.6,38.8,118.7
6,2016,168.3,24.4,120.9
7,2016,289.1,27.7,120.1
8,2016,256.3,24.6,121.4
9,2016,171.9,27.6,124.0
10,2016,76.1,29.5,121.9
11,2016,29.7,25.0,123.2
12,2016,14.9,16.4,127.8
1,2017,19.0,19.0,132.3
2,2017,22.6,17.1,136.0
3,2017,27.8,39.1,132.1
4,2017,37.9,39.8,131.6
5,2017,62.4,38.6,130.5
6,2017,168.1,24.5,126.9
7,2017,289.3,27.8,126.3
8,2017,256.2,27.8,124.5
9,2017,171.5,25.5,126.1
10,2017,76.3,26.7,123.3
11,2017,29.9,27.2,118.5
12,2017,15.0,18.2,121.3
1,2018,19.2,18.5,118.3
2,2018,20.1,19.5,115.9
3,2018,27.1,37.0,118.1
4,2018,40.2,38.2,118.0
5,2018,62.7,36.8,117.0
6,2018,165.0,26.2,119.3
7,2018,286.3,25.4,119.6
8,2018,254.3,26.2,121.9
9,2018,171.9,26.5,121.4
10,2018,77.2,26.1,125.8
11,2018,28.1,26.9,137.7
12,2018,14.1,19.2,142.3
