Month,Year,Rainfall,Temperature,WPI
4,2012,47.5,35.0,104.6
5,2012,31.7,35.2,105.4
6,2012,117.8,26.9,104.4
7,2012,250.2,27.5,105.8
8,2012,262.4,25.2,116.0
9,2012,193.5,28.0,119.4
10,2012,58.7,26.1,117.4
11,2012,30.7,29.7,120.7
12,2012,11.7,18.2,121.7
1,2013,11.3,18.9,121.6
2,2013,40.1,19.8,123.6
3,2013,15.7,38.1,122.8
4,2013,30.4,37.4,120.1
5,2013,57.8,35.4,118.9
6,2013,219.8,24.8,121.9
7,2013,310.0,24.2,122.3
8,2013,254.7,26.2,123.1
9,2013,152.7,26.2,124.6
10,2013,129.4,29.1,125.7
11,2013,14.0,24.4,127.6
12,2013,6.7,16.5,128.6
1,2014,19.2,17.7,130.0
2,2014,27.4,19.6,128.8
3,2014,36.1,35.8,127.5
4,2014,22.2,37.4,123.5
5,2014,72.9,35.4,120.9
6,2014,95.4,28.0,120.4
7,2014,261.2,27.9,121.9
8,2014,237.5,26.5,122.5
9,2014,188.0,24.7,121.8
10,2014,60.2,29.6,122.3
11,2014,14.4,27.2,123.7
12,2014,10.7,16.8,125.8
1,2015,17.4,19.2,126.3
2,2015,21.0,18.5,125.9
3,2015,62.0,35.3,125.9
4,2015,69.4,35.8,125.1
5,2015,53.8,40.2,124.1
6,2015,192.8,26.2,122.3
7,2015,242.4,24.5,124.8
8,2015,205.2,24.2,126.1
9,2015,131.8,26.5,126.2
10,2015,42.9,26.9,128.5
11,2015,39.4,25.7,129.9
12,2015,15.0,18.9,131.9
1,2016,19.3,17.7,134.1
2,2016,22.8,19.3,134.1
3,2016,27.6,35.6,134.1
4,2016,37.4,37.4,132.9
5,2016,62.6,39.9,134.5
6,2016,168.3,27.7,136.5
7,2016,289.1,24.9,137.9
8,2016,256.3,25.3,139.1
9,2016,171.9,28.0,140.0
10,2016,76.1,25.9,140.8
11,2016,29.7,29.3,147.9
12,2016,14.9,17.9,152.3
1,2017,19.0,18.0,151.3
2,2017,22.6,18.4,149.3
3,2017,27.8,37.8,142.9
4,2017,37.9,40.7,141.0
5,2017,62.4,38.5,137.5
6,2017,168.1,25.0,136.1
7,2017,289.3,25.5,136.3
8,2017,256.2,25.4,137.1
9,2017,171.5,24.6,137.6
10,2017,76.3,26.5,138.0
11,2017,29.9,30.1,139.4
12,2017,15.0,17.6,139.4
1,2018,19.2,18.6,140.8
2,2018,20.1,18.7,140.0
3,2018,27.1,37.7,141.2
4,2018,40.2,35.3,140.9
5,2018,62.7,37.6,141.7
6,2018,165.0,26.3,143.1
7,2018,286.3,25.1,145.0
8,2018,254.3,28.1,148.6
9,2018,171.9,24.9,149.8
10,2018,77.2,29.5,151.1
11,2018,28.1,27.4,152.2
12,2018,14.1,16.3,152.8
