Month,Year,Rainfall,Temperature,WPI
4,2012,31.8,41.0,120.34
5,2012,18.9,39.2,116.18
6,2012,82.3,28.1,121.45
7,2012,154.4,29.0,122.52
8,2012,158.5,27.9,133.9
9,2012,113.4,29.8,130.38
10,2012,37.2,24.4,120.16
11,2012,18.0,26.3,135.58
12,2012,10.0,6.5,141.5
1,2013,10.0,6.6,152.67
2,2013,24.0,8.1,143.49
3,2013,10.5,44.0,145.75
4,2013,20.9,44.0,152.87
5,2013,35.9,42.7,151.6
6,2013,147.1,26.9,147.03
7,2013,213.3,26.5,145.18
8,2013,155.9,28.0,143.44
9,2013,102.7,28.3,148.29
10,2013,78.7,25.9,149.41
11,2013,10.0,22.2,141.12
12,2013,10.0,7.4,144.79
1,2014,11.3,8.8,150.13
2,2014,18.0,9.3,145.82
3,2014,24.3,40.0,161.8
4,2014,15.6,39.1,162.13
5,2014,47.3,44.4,158.33
6,2014,60.6,29.3,146.16
7,2014,177.6,27.5,151.04
8,2014,161.5,27.2,155.7
9,2014,123.8,26.6,155.3
10,2014,38.9,23.4,147.29
11,2014,10.0,21.9,140.46
12,2014,10.0,8.5,139.89
1,2015,11.8,8.1,151.75
2,2015,12.3,6.3,139.25
3,2015,38.0,41.3,149.93
4,2015,48.1,43.7,151.58
5,2015,33.9,42.9,145.08
6,2015,135.0,27.8,140.32
7,2015,159.3,27.3,142.78
8,2015,132.6,29.2,141.79
9,2015,87.2,26.4,146.03
10,2015,28.3,23.7,160.48
11,2015,23.3,24.0,158.69
12,2015,10.0,6.5,162.09
1,2016,12.1,6.5,166.13
2,2016,13.6,8.5,173.8
3,2016,18.8,44.6,181.2
4,2016,23.0,40.2,182.74
5,2016,38.1,41.6,186.06
6,2016,114.5,28.3,183.47
7,2016,170.7,29.3,190.69
8,2016,181.7,26.8,193.44
9,2016,103.5,26.9,180.47
10,2016,44.6,23.1,172.14
11,2016,20.8,23.6,184.15
12,2016,10.0,9.7,193.91
1,2017,11.7,9.2,185.59
2,2017,15.5,9.5,183.34
3,2017,19.6,39.9,191.14
4,2017,23.7,42.1,180.83
5,2017,38.1,40.3,185.29
6,2017,116.9,27.9,181.73
7,2017,205.9,29.6,183.34
8,2017,172.4,29.2,167.97
9,2017,106.0,28.4,166.27
10,2017,45.6,25.9,164.85
11,2017,21.2,24.4,158.27
12,2017,10.0,8.3,159.92
1,2018,11.3,10.1,172.16
2,2018,12.1,10.2,159.86
3,2018,18.4,43.5,154.97
4,2018,25.6,44.8,155.7
5,2018,38.6,40.4,165.97
6,2018,114.5,26.6,157.79
7,2018,168.6,26.4,167.59
8,2018,157.0,28.1,161.86
9,2018,110.3,28.2,169.39
10,2018,54.9,24.7,177.21
11,2018,19.0,21.5,206.85
12,2018,10.0,8.5,215.97
