Month,Year,Rainfall,Temperature,WPI
4,2012,29.4,43.2,114.89
5,2012,20.8,43.6,113.11
6,2012,75.9,30.0,109.03
7,2012,165.0,29.2,123.43
8,2012,183.7,27.4,128.78
9,2012,114.8,27.4,122.43
10,2012,38.2,23.9,122.34
11,2012,20.8,24.7,126.45
12,2012,10.0,9.5,131.68
1,2013,10.0,8.4,125.97
2,2013,23.9,8.9,118.67
3,2013,10.1,40.8,133.37
4,2013,21.0,40.5,131.08
5,2013,37.0,39.3,126.67
6,2013,131.1,29.4,132.71
7,2013,189.8,29.1,131.69
8,2013,159.9,29.0,146.66
9,2013,91.2,29.7,139.67
10,2013,87.3,22.0,137.75
11,2013,10.0,22.5,129.08
12,2013,10.0,9.8,127.95
1,2014,12.3,6.4,135.56
2,2014,16.4,7.7,138.95
3,2014,23.5,39.1,136.95
4,2014,15.5,40.8,134.08
5,2014,44.4,42.4,129.68
6,2014,64.4,29.0,136.6
7,2014,172.8,30.0,136.85
8,2014,145.9,29.8,160.22
9,2014,115.8,29.5,149.68
10,2014,40.6,25.9,143.74
11,2014,10.1,25.8,135.72
12,2014,10.0,10.0,130.89
1,2015,10.2,7.4,134.91
2,2015,14.4,6.9,130.09
3,2015,38.9,40.5,139.13
4,2015,42.1,44.9,149.47
5,2015,36.5,39.8,140.71
6,2015,116.9,27.1,142.11
7,2015,144.1,26.2,154.67
8,2015,137.7,27.7,156.4
9,2015,79.8,28.5,163.56
10,2015,26.2,23.3,177.27
11,2015,24.2,23.7,161.65
12,2015,10.0,10.1,161.6
1,2016,13.6,9.1,177.27
2,2016,15.8,6.5,186.32
3,2016,16.7,41.5,176.5
4,2016,26.2,41.2,189.95
5,2016,38.6,40.0,187.48
6,2016,106.8,29.4,196.8
7,2016,172.5,28.5,211.19
8,2016,173.5,28.4,201.96
9,2016,115.0,27.7,207.04
10,2016,49.9,25.2,200.57
11,2016,20.3,25.9,182.02
12,2016,10.0,6.2,185.53
1,2017,13.5,7.7,196.91
2,2017,13.3,10.0,190.13
3,2017,18.6,43.3,194.58
4,2017,23.6,43.7,192.47
5,2017,40.7,40.5,177.5
6,2017,100.4,26.7,176.1
7,2017,186.6,27.2,182.03
8,2017,178.0,26.3,175.38
9,2017,120.4,26.9,179.51
10,2017,48.1,23.5,162.59
11,2017,18.9,26.5,178.62
12,2017,10.0,9.4,183.25
1,2018,12.2,6.8,179.41
2,2018,13.1,9.2,179.39
3,2018,16.0,40.7,180.26
4,2018,27.7,42.4,177.72
5,2018,41.5,40.4,164.25
6,2018,105.6,29.4,179.42
7,2018,194.6,29.2,167.58
8,2018,170.0,28.6,173.03
9,2018,103.7,26.9,177.26
10,2018,50.9,24.1,177.04
11,2018,17.2,21.8,174.5
12,2018,10.0,6.3,178.34
