Month,Year,Rainfall,Temperature,WPI
4,2012,33.4,42.9,119.49
5,2012,22.2,43.6,117.91
6,2012,81.0,27.0,113.27
7,2012,169.5,26.1,116.27
8,2012,173.3,27.7,121.56
9,2012,132.8,28.7,122.85
10,2012,40.9,21.0,124.75
11,2012,21.8,25.9,121.52
12,2012,10.0,9.5,119.79
1,2013,10.0,6.5,127.72
2,2013,27.7,7.0,121.61
3,2013,11.2,39.6,121.0
4,2013,20.2,41.2,124.48
5,2013,36.6,43.9,119.78
6,2013,139.9,26.3,125.94
7,2013,193.1,29.7,118.92
8,2013,161.9,28.4,122.12
9,2013,99.2,26.6,125.56
10,2013,77.1,26.9,125.02
11,2013,10.0,23.9,146.27
12,2013,10.0,6.1,140.71
1,2014,13.2,8.6,141.48
2,2014,19.2,7.4,151.0
3,2014,23.8,45.0,141.1
4,2014,14.7,40.8,142.29
5,2014,45.1,44.1,151.61
6,2014,66.6,28.8,141.65
7,2014,183.7,28.4,140.93
8,2014,155.3,26.5,151.05
9,2014,129.9,28.4,153.08
10,2014,40.9,25.0,155.27
11,2014,10.0,25.7,143.92
12,2014,10.0,9.9,148.4
1,2015,10.2,9.9,155.91
2,2015,14.6,8.9,150.02
3,2015,43.6,41.5,158.4
4,2015,41.4,39.7,175.68
5,2015,37.4,42.4,189.6
6,2015,132.2,29.0,174.16
7,2015,155.5,26.3,182.56
8,2015,122.8,26.9,177.3
9,2015,79.1,27.7,180.47
10,2015,25.8,25.4,184.29
11,2015,24.6,24.9,189.73
12,2015,10.0,6.3,185.62
1,2016,13.7,7.2,196.11
2,2016,15.4,10.1,198.88
3,2016,17.9,44.8,206.72
4,2016,22.3,40.3,198.99
5,2016,37.6,42.3,203.88
6,2016,109.8,26.4,203.81
7,2016,195.2,29.6,189.9
8,2016,163.1,26.5,193.03
9,2016,121.8,27.6,200.52
10,2016,50.8,22.9,211.48
11,2016,18.5,24.1,213.76
12,2016,10.6,6.9,207.75
1,2017,11.9,9.4,222.26
2,2017,16.1,9.0,206.75
3,2017,16.9,43.9,206.63
4,2017,24.0,39.3,219.05
5,2017,36.5,44.8,208.6
6,2017,109.5,29.5,221.5
7,2017,196.4,27.0,204.1
8,2017,154.9,30.2,218.21
9,2017,107.0,28.7,215.67
10,2017,45.3,26.3,221.93
11,2017,20.7,24.6,219.54
12,2017,10.0,6.6,205.1
1,2018,12.8,6.4,220.47
2,2018,12.5,7.5,213.64
3,2018,17.2,42.8,228.13
4,2018,28.1,39.3,216.48
5,2018,39.2,43.2,208.1
6,2018,105.3,26.8,217.89
7,2018,176.3,29.4,223.23
8,2018,168.1,27.4,227.35
9,2018,105.8,28.0,217.71
10,2018,53.5,27.3,215.51
11,2018,17.6,25.6,210.55
12,2018,10.0,6.3,212.36
