Month,Year,Rainfall,Temperature,WPI
4,2012,32.2,40.2,123.13
5,2012,19.6,42.3,130.85
6,2012,80.2,29.9,129.43
7,2012,168.7,29.1,126.41
8,2012,158.2,29.3,133.97
9,2012,119.2,29.0,137.62
10,2012,37.0,21.7,149.1
11,2012,21.0,21.2,151.09
12,2012,10.0,6.6,148.92
1,2013,10.0,8.3,144.75
2,2013,23.8,9.8,158.5
3,2013,10.0,40.4,157.65
4,2013,21.4,39.4,146.26
5,2013,37.5,39.1,144.72
6,2013,144.0,29.1,149.89
7,2013,194.9,28.6,157.19
8,2013,171.7,26.1,146.33
9,2013,97.9,28.9,154.32
10,2013,91.6,27.0,156.19
11,2013,10.0,21.3,161.19
12,2013,10.0,7.1,157.95
1,2014,12.8,9.6,160.29
2,2014,16.9,8.4,161.43
3,2014,22.1,39.2,168.33
4,2014,14.5,42.6,148.38
5,2014,49.2,39.5,148.32
6,2014,60.0,27.2,145.01
7,2014,167.4,29.9,148.29
8,2014,156.7,26.4,156.12
9,2014,113.0,27.2,146.01
10,2014,41.3,24.3,154.71
11,2014,10.0,22.5,162.33
12,2014,10.0,6.4,160.72
1,2015,10.2,7.6,154.9
2,2015,12.7,9.2,167.78
3,2015,40.1,43.3,154.94
4,2015,41.6,43.2,160.12
5,2015,34.3,42.7,153.65
6,2015,128.5,29.8,159.52
7,2015,143.3,28.5,156.5
8,2015,146.1,29.7,168.88
9,2015,83.9,28.7,158.05
10,2015,28.5,22.1,157.52
11,2015,28.0,21.5,162.71
12,2015,10.4,8.3,168.45
1,2016,13.0,9.2,180.28
2,2016,13.4,7.7,176.68
3,2016,18.4,42.6,171.06
4,2016,22.3,42.1,172.38
5,2016,39.8,41.8,170.13
6,2016,104.5,28.4,179.28
7,2016,183.6,28.8,176.13
8,2016,171.3,27.8,179.84
9,2016,103.3,28.3,174.75
10,2016,46.5,23.8,178.75
11,2016,20.0,25.2,184.88
12,2016,10.0,9.4,207.92
1,2017,11.1,7.5,207.02
2,2017,16.0,9.4,194.25
3,2017,18.6,41.6,186.36
4,2017,26.9,41.8,191.03
5,2017,41.2,44.4,191.75
6,2017,109.9,29.6,183.82
7,2017,184.7,26.9,182.29
8,2017,171.9,29.7,176.84
9,2017,104.3,29.9,177.67
10,2017,47.0,21.8,183.87
11,2017,18.6,22.0,178.7
12,2017,10.0,7.3,181.94
1,2018,13.1,7.4,182.27
2,2018,12.0,7.1,187.5
3,2018,18.5,41.6,197.68
4,2018,26.5,40.6,185.97
5,2018,39.4,41.3,194.07
6,2018,106.3,29.1,189.27
7,2018,203.6,28.2,199.82
8,2018,155.3,29.5,196.83
9,2018,109.3,29.3,201.77
10,2018,47.7,25.3,215.17
11,2018,19.7,22.3,206.64
12,2018,10.0,8.6,208.33
