Month,Year,Rainfall,Temperature,WPI
4,2012,43.0,37.2,108.91
5,2012,30.7,37.3,110.34
6,2012,110.7,27.4,115.32
7,2012,243.9,28.7,121.22
8,2012,222.4,26.7,120.87
9,2012,177.8,27.0,127.99
10,2012,47.6,23.9,120.36
11,2012,27.1,24.9,127.08
12,2012,10.9,10.2,128.69
1,2013,10.0,11.4,144.37
2,2013,32.5,11.7,139.69
3,2013,13.1,37.8,147.37
4,2013,29.0,37.8,138.15
5,2013,48.2,39.7,140.79
6,2013,214.5,29.4,148.53
7,2013,289.4,28.4,137.78
8,2013,233.4,27.6,135.07
9,2013,132.3,28.0,144.77
10,2013,125.0,27.1,131.28
11,2013,12.1,24.5,136.55
12,2013,10.0,13.8,140.52
1,2014,17.6,10.6,135.45
2,2014,23.2,13.5,136.9
3,2014,33.9,38.1,139.26
4,2014,18.9,38.5,140.36
5,2014,65.7,37.4,139.65
6,2014,87.9,26.2,143.96
7,2014,220.8,29.8,147.05
8,2014,233.2,29.3,141.43
9,2014,181.3,28.8,138.61
10,2014,56.4,23.2,145.13
11,2014,12.1,27.8,136.6
12,2014,10.0,13.7,137.29
1,2015,15.2,13.4,139.67
2,2015,18.8,12.1,136.46
3,2015,50.6,40.7,130.2
4,2015,59.9,37.5,135.01
5,2015,49.9,38.0,136.63
6,2015,175.8,27.1,138.19
7,2015,204.0,27.8,128.67
8,2015,187.6,27.3,137.45
9,2015,110.9,27.1,145.05
10,2015,35.0,25.2,143.95
11,2015,38.6,24.8,147.24
12,2015,13.5,11.1,153.68
1,2016,15.9,12.1,148.95
2,2016,19.6,10.6,161.59
3,2016,23.6,42.3,161.74
4,2016,30.5,40.4,165.81
5,2016,59.7,37.6,172.14
6,2016,139.1,27.1,170.69
7,2016,249.8,26.6,166.99
8,2016,235.3,28.5,177.43
9,2016,159.4,29.6,165.15
10,2016,66.5,28.4,154.91
11,2016,28.2,25.7,173.28
12,2016,13.5,13.9,165.42
1,2017,15.7,13.2,166.7
2,2017,22.0,14.1,164.86
3,2017,24.5,41.1,169.3
4,2017,35.2,39.2,176.77
5,2017,55.3,39.5,165.49
6,2017,148.8,29.1,157.83
7,2017,253.1,29.1,154.88
8,2017,249.2,27.3,158.63
9,2017,162.5,27.5,159.1
10,2017,73.2,26.5,149.55
11,2017,28.6,28.9,137.41
12,2017,12.6,12.9,154.59
1,2018,16.1,13.6,145.86
2,2018,18.9,12.4,148.57
3,2018,26.5,37.6,148.25
4,2018,36.6,41.3,144.58
5,2018,58.0,38.8,144.09
6,2018,138.6,28.2,151.37
7,2018,270.9,29.7,148.9
8,2018,219.1,28.9,156.14
9,2018,143.7,27.7,158.77
10,2018,65.6,27.7,170.97
11,2018,23.6,29.0,185.28
12,2018,12.4,12.7,192.5
