Month,Year,Rainfall,Temperature,WPI
4,2012,42.1,39.1,113.38
5,2012,27.7,38.4,108.55
6,2012,99.0,26.2,121.06
7,2012,223.0,27.8,110.62
8,2012,222.5,26.7,121.1
9,2012,178.4,26.1,112.94
10,2012,55.4,23.4,119.17
11,2012,27.8,27.6,121.87
12,2012,10.0,13.9,116.77
1,2013,10.8,10.1,119.69
2,2013,33.8,13.4,116.46
3,2013,13.1,41.6,116.44
4,2013,27.1,41.2,121.74
5,2013,49.4,39.3,118.79
6,2013,184.7,27.3,112.47
7,2013,292.8,27.7,117.68
8,2013,210.5,26.6,119.45
9,2013,134.7,27.6,112.04
10,2013,114.4,23.8,126.79
11,2013,11.6,23.7,145.71
12,2013,10.0,10.1,134.66
1,2014,17.5,13.0,144.71
2,2014,25.4,13.5,144.35
3,2014,33.9,42.3,137.58
4,2014,19.6,38.3,146.62
5,2014,61.9,38.7,141.22
6,2014,81.2,27.8,134.38
7,2014,219.4,26.6,144.04
8,2014,212.5,28.2,138.99
9,2014,177.3,28.6,147.4
10,2014,58.4,25.5,134.48
11,2014,14.0,24.4,143.05
12,2014,10.2,10.9,139.88
1,2015,15.0,12.9,141.16
2,2015,18.4,11.3,146.86
3,2015,52.1,37.6,136.35
4,2015,63.5,42.9,180.66
5,2015,44.1,42.6,167.95
6,2015,189.9,28.5,173.01
7,2015,206.1,27.6,170.57
8,2015,176.2,26.6,171.03
9,2015,108.1,26.6,163.95
10,2015,35.2,28.3,179.47
11,2015,38.5,26.8,169.49
12,2015,13.8,13.3,172.28
1,2016,19.0,12.1,188.01
2,2016,19.9,12.4,179.06
3,2016,26.1,38.4,187.71
4,2016,34.7,40.4,193.64
5,2016,53.7,40.0,179.86
6,2016,155.6,27.4,176.73
7,2016,271.1,27.8,183.92
8,2016,230.9,30.1,189.84
9,2016,144.8,29.5,188.4
10,2016,70.2,24.6,195.89
11,2016,27.9,24.0,188.28
12,2016,12.3,11.1,194.7
1,2017,17.9,11.5,198.92
2,2017,20.0,14.2,201.59
3,2017,23.1,40.8,192.38
4,2017,34.7,40.5,193.56
5,2017,56.6,37.3,198.57
6,2017,159.7,27.6,195.53
7,2017,248.8,28.3,199.53
8,2017,242.1,27.1,188.65
9,2017,169.4,27.8,199.84
10,2017,69.4,27.8,196.73
11,2017,25.6,26.3,193.84
12,2017,13.7,13.4,191.82
1,2018,16.9,12.1,201.01
2,2018,16.8,12.2,201.74
3,2018,23.3,37.8,198.91
4,2018,32.8,37.6,190.81
5,2018,57.3,38.0,194.52
6,2018,149.1,26.6,195.58
7,2018,272.5,27.2,207.93
8,2018,231.6,29.2,195.83
9,2018,162.5,29.9,191.05
10,2018,74.7,28.5,205.22
11,2018,23.5,27.1,199.31
12,2018,11.6,11.1,199.43
